"table_name","column_name","data_type","is_nullable","key_type"
"books","id","integer","NO","PK"
"books","candidate_id","integer","NO","FK"
"books","book_title","text","YES",""
"books","authors_raw","text","YES",""
"books","isbn","character varying","YES",""
"books","publisher","character varying","YES",""
"books","publishing_year","integer","YES",""
"books","online_link","character varying","YES",""
"books","authorship_role","character varying","YES",""
"books","publisher_credibility_note","text","YES",""
"candidates","id","integer","NO","PK"
"candidates","full_name","character varying","YES",""
"candidates","email","character varying","YES",""
"candidates","phone","character varying","YES",""
"candidates","address","text","YES",""
"candidates","linkedin_url","character varying","YES",""
"candidates","nationality","character varying","YES",""
"candidates","cv_filename","character varying","NO",""
"candidates","cv_filepath","character varying","NO",""
"candidates","cv_raw_text","text","YES",""
"candidates","status","USER-DEFINED","YES",""
"candidates","overall_summary","text","YES",""
"candidates","overall_score","double precision","YES",""
"candidates","uploaded_at","timestamp without time zone","YES",""
"candidates","processed_at","timestamp without time zone","YES",""
"coauthor_analysis","id","integer","NO","PK"
"coauthor_analysis","candidate_id","integer","NO",""
"coauthor_analysis","candidate_id","integer","NO","FK"
"coauthor_analysis","total_unique_coauthors","integer","YES",""
"coauthor_analysis","avg_coauthors_per_paper","double precision","YES",""
"coauthor_analysis","max_coauthors_in_paper","integer","YES",""
"coauthor_analysis","recurring_collaborators","jsonb","YES",""
"coauthor_analysis","most_frequent_collaborator","character varying","YES",""
"coauthor_analysis","collaboration_diversity_score","double precision","YES",""
"coauthor_analysis","has_student_collaborations","boolean","YES",""
"coauthor_analysis","has_international_collaborations","boolean","YES",""
"coauthor_analysis","collaboration_summary","text","YES",""
"conference_details","id","integer","NO","PK"
"conference_details","publication_id","integer","NO","FK"
"conference_details","conference_name","character varying","YES",""
"conference_details","proceedings_title","text","YES",""
"conference_details","core_rank","character varying","YES",""
"conference_details","is_a_star","boolean","YES",""
"conference_details","series_edition","character varying","YES",""
"conference_details","is_scopus_indexed","boolean","YES",""
"conference_details","is_ieee_xplore","boolean","YES",""
"conference_details","is_springer","boolean","YES",""
"conference_details","is_acm","boolean","YES",""
"conference_details","other_indexing","character varying","YES",""
